#Acquired:	08/23/2026 10:00:00
#Title:	Alpha Cellulose reference
#Acq. time (s):	15
#Accumulations:	3
#Range (cm-1):	267 - 2004
#Grating:	1800
#Objective:	x50
#Laser:	785nm
#Spectro:	iHR320
1316.38	0.038710462
1318.05	0.039755424
1319.71	0.040652834
1321.38	0.041660847
1323.05	0.042816109
1324.71	0.044049376
1326.37	0.045365037
1328.03	0.046770599
1329.69	0.048220981
1331.35	0.049616784
1333.01	0.050905847
1334.67	0.051889653
1336.33	0.052509422
1337.98	0.052764306
1339.64	0.052647426
1341.29	0.052171466
1342.95	0.05140095
1344.6	0.050428742
1346.25	0.049346617
1347.9	0.048479924
1349.55	0.047943199
1351.19	0.047854893
1352.84	0.04831525
1354.49	0.049195804
1356.13	0.050488039
1357.78	0.052409818
1359.42	0.054952096
1361.06	0.057801275
1362.7	0.06089425
1364.34	0.064267764
1365.98	0.067823699
1367.62	0.071542367
1369.26	0.075327572
1370.89	0.079009225
1372.53	0.082453086
1374.16	0.085414919
1375.79	0.087725193
1377.43	0.089227192
1379.06	0.089828845
1380.69	0.089085983
1382.32	0.086962219
1383.94	0.083773224
1385.57	0.079644472
1387.2	0.07486092
1388.82	0.069655534
1390.45	0.064550901
1392.07	0.059763527
1393.69	0.055592711
1395.31	0.052212226
1396.93	0.049282115
1398.55	0.046775168
1400.17	0.044986187
1401.79	0.043875098
1403.4	0.042965847
1405.02	0.042178293
1406.63	0.041514836
1408.25	0.040863319
1409.86	0.040355767
1411.47	0.039982609
1413.08	0.039358234
1414.69	0.038441146
1416.3	0.037448034
1417.9	0.036351421
1419.51	0.035294683
1421.12	0.034342833
1422.72	0.033130459
1424.32	0.031626137
1425.93	0.030293754
1427.53	0.02918722
1429.13	0.027911923
1430.73	0.026474724
1432.32	0.025295095
1433.92	0.024418546
1435.52	0.023564463
1437.11	0.022751877
1438.71	0.022245942
1440.3	0.022059684
1441.89	0.022096481
1443.48	0.022379994
1445.08	0.022835258
1446.66	0.023436267
1448.25	0.024349867
1449.84	0.025558877
1451.43	0.027006214
1453.01	0.028670098
1454.6	0.030325351
1456.18	0.031881227
1457.76	0.033440944
1459.34	0.034962527
1460.92	0.03612198
1462.5	0.036861517
1464.08	0.037396381
1465.66	0.037711833
1467.24	0.037728616
1468.81	0.037434203
1470.39	0.036942948
1471.96	0.036253882
1473.53	0.035084784
1475.1	0.033410775
1476.67	0.031329722
1478.24	0.028870982
1479.81	0.025974819
1481.38	0.022708762
1482.94	0.019424398
1484.51	0.01622962
1486.07	0.013248067
1487.64	0.010580981
1489.2	0.008249282
1490.76	0.00628479
1492.32	0.004683722
1493.88	0.003434244
1495.44	0.00246112
1497	0.001738881
1498.55	0.001150195
1500.11	0.000640362
1501.66	0.000353178
1503.22	0.000279834
1504.77	0.000192054
1506.32	5.59934E-05
1507.87	1.50281E-05
1509.42	5.83192E-05
1510.97	5.64278E-05
1512.52	4.49759E-07
1514.07	-1.73029E-05
1515.61	5.40978E-06
1517.16	3.36317E-06
1518.7	-2.16443E-05
1520.24	-8.05822E-07
1521.78	6.33843E-05
1523.32	0.0001691
1524.86	0.000314338
1526.4	0.000438162
1527.94	0.000546982
1529.48	0.000522104
1531.01	0.00033836
1532.55	0.000323627
1534.08	0.000516093
1535.61	0.000676953
1537.15	0.000798051
1538.68	0.001031889
1540.21	0.00137705
1541.73	0.001589056
1543.26	0.001643643
1544.79	0.001761612
1546.32	0.001954212
1547.84	0.002087455
1549.36	0.002153033
1550.89	0.002344475
1552.41	0.002678121
1553.93	0.002851765
1555.45	0.002835031
1556.97	0.002867089
1558.49	0.002947768
1560	0.002917952
1561.52	0.00280011
1563.03	0.002602999
1564.55	0.002310147
1566.06	0.00220164
1567.57	0.002327495
1569.08	0.00236893
1570.59	0.002298553
1572.1	0.002389368
1573.61	0.002647592
1575.12	0.002732008
1576.62	0.00262537
1578.13	0.002571492
1579.63	0.002570204
1581.13	0.002597894
1582.64	0.002679082
1584.14	0.002788715
1585.64	0.002916968
1587.14	0.003090686
1588.63	0.003295094
1590.13	0.003486138
1591.63	0.003673256
1593.12	0.003674415
1594.62	0.003454758
1596.11	0.003395613
1597.6	0.003541507
1599.09	0.003590077
1600.58	0.003533744
1602.07	0.003626474
1603.56	0.003865918
1605.05	0.004017161
1606.53	0.004070654
